,dormitory_type,condition_type,house_age
0,house,regular,new_house
1,house,regular,new_house
2,apartament,regular,new_house
3,house,good,new_house
4,house,regular,new_house
5,house,regular,new_house
6,house,regular,new_house
7,house,regular,new_house
8,house,regular,new_house
9,house,regular,new_house
10,house,regular,new_house
11,apartament,regular,new_house
12,house,regular,new_house
13,house,regular,new_house
14,house,regular,new_house
15,house,regular,new_house
16,house,regular,new_house
17,house,regular,new_house
18,apartament,regular,new_house
19,house,regular,new_house
20,house,regular,new_house
21,house,regular,new_house
22,house,regular,new_house
23,apartament,regular,new_house
24,house,regular,new_house
25,house,good,new_house
26,house,regular,new_house
27,house,good,new_house
28,house,regular,new_house
29,house,regular,new_house
30,house,regular,new_house
31,apartament,regular,new_house
32,house,regular,new_house
33,house,regular,new_house
34,house,regular,new_house
35,house,regular,new_house
36,house,NA,new_house
37,house,regular,new_house
38,house,bad,new_house
39,house,regular,new_house
40,house,regular,new_house
41,house,regular,new_house
42,house,regular,new_house
43,house,regular,new_house
44,house,regular,new_house
45,house,regular,new_house
46,house,regular,new_house
47,house,regular,new_house
48,house,regular,new_house
49,house,good,new_house
50,house,regular,new_house
51,house,regular,new_house
52,house,regular,new_house
53,apartament,regular,new_house
54,house,regular,new_house
55,house,regular,new_house
56,house,regular,new_house
57,house,regular,new_house
58,house,regular,new_house
59,house,regular,new_house
60,house,regular,new_house
61,house,regular,new_house
62,house,good,new_house
63,house,regular,new_house
64,house,regular,new_house
65,house,good,new_house
66,house,regular,new_house
67,house,regular,new_house
68,house,regular,new_house
69,house,regular,new_house
70,house,regular,new_house
71,house,regular,new_house
72,house,good,new_house
73,house,regular,new_house
74,house,good,new_house
75,house,regular,new_house
76,house,regular,new_house
77,house,regular,new_house
78,house,regular,new_house
79,house,regular,new_house
80,house,regular,new_house
81,house,regular,new_house
82,apartament,regular,new_house
83,house,regular,new_house
84,house,regular,new_house
85,house,regular,new_house
86,house,good,new_house
87,house,regular,new_house
88,apartament,regular,new_house
89,apartament,regular,new_house
90,house,regular,new_house
91,house,regular,new_house
92,house,regular,new_house
93,house,regular,new_house
94,house,regular,new_house
95,house,regular,new_house
96,house,regular,new_house
97,house,regular,new_house
98,house,good,new_house
99,house,regular,new_house
100,house,good,new_house
101,house,regular,new_house
102,house,regular,new_house
103,house,regular,new_house
104,house,regular,new_house
105,house,regular,new_house
106,house,regular,new_house
107,apartament,regular,new_house
108,house,regular,new_house
109,house,regular,new_house
110,house,regular,new_house
111,house,good,new_house
112,house,regular,new_house
113,house,regular,new_house
114,house,regular,new_house
115,house,regular,new_house
116,house,regular,new_house
117,apartament,regular,new_house
118,house,regular,new_house
119,house,regular,new_house
120,house,regular,new_house
121,house,regular,new_house
122,apartament,regular,new_house
123,house,good,new_house
124,house,regular,new_house
125,house,regular,new_house
126,house,regular,new_house
127,house,regular,new_house
128,house,good,new_house
129,house,regular,new_house
130,house,regular,new_house
131,house,regular,new_house
132,house,regular,new_house
133,house,regular,new_house
134,house,regular,new_house
135,house,regular,new_house
136,house,regular,new_house
137,house,regular,new_house
138,apartament,regular,new_house
139,house,regular,new_house
140,apartament,regular,new_house
141,house,regular,new_house
142,house,regular,new_house
143,house,regular,new_house
144,house,regular,new_house
145,house,regular,new_house
146,house,regular,new_house
147,apartament,regular,new_house
148,house,regular,new_house
149,house,regular,new_house
150,house,regular,new_house
151,house,regular,new_house
152,house,regular,new_house
153,house,regular,new_house
154,studio,regular,new_house
155,house,regular,new_house
156,house,regular,new_house
157,house,regular,new_house
158,house,regular,new_house
159,house,regular,new_house
160,house,regular,new_house
161,house,regular,new_house
162,house,regular,new_house
163,house,regular,new_house
164,house,regular,new_house
165,house,regular,new_house
166,apartament,good,new_house
167,house,regular,new_house
168,house,regular,new_house
169,house,good,new_house
170,house,regular,new_house
171,house,regular,new_house
172,house,regular,new_house
173,house,regular,new_house
174,house,regular,new_house
175,house,regular,new_house
176,house,regular,new_house
177,house,regular,new_house
178,house,regular,new_house
179,apartament,regular,new_house
180,house,regular,new_house
181,house,regular,new_house
182,house,good,new_house
183,apartament,regular,new_house
184,house,regular,new_house
185,house,regular,new_house
186,house,regular,new_house
187,house,regular,new_house
188,house,regular,new_house
189,house,regular,new_house
190,house,regular,new_house
191,house,regular,new_house
192,house,regular,new_house
193,house,regular,new_house
194,house,regular,new_house
195,house,regular,new_house
196,house,good,new_house
197,house,regular,new_house
198,house,regular,new_house
199,house,regular,new_house
200,house,regular,new_house
201,house,regular,new_house
202,house,regular,new_house
203,house,regular,new_house
204,house,regular,new_house
205,house,regular,new_house
206,house,regular,new_house
207,house,regular,new_house
208,apartament,regular,new_house
209,house,regular,new_house
210,house,regular,new_house
211,house,regular,new_house
212,house,regular,new_house
213,house,regular,new_house
214,house,regular,new_house
215,apartament,regular,new_house
216,house,regular,new_house
217,house,regular,new_house
218,apartament,regular,new_house
219,apartament,regular,new_house
220,house,regular,new_house
221,house,regular,new_house
222,house,regular,new_house
223,house,regular,new_house
224,house,regular,new_house
225,house,good,new_house
226,apartament,regular,new_house
227,house,regular,new_house
228,house,regular,new_house
229,house,regular,new_house
230,apartament,regular,new_house
231,house,good,new_house
232,house,regular,new_house
233,apartament,regular,new_house
234,house,good,new_house
235,house,regular,new_house
236,house,good,new_house
237,house,regular,new_house
238,house,regular,new_house
239,house,regular,new_house
240,house,regular,new_house
241,apartament,regular,new_house
242,apartament,bad,new_house
243,house,regular,new_house
244,apartament,regular,new_house
245,house,regular,new_house
246,house,regular,new_house
247,apartament,regular,new_house
248,house,regular,new_house
249,house,regular,new_house
250,house,regular,new_house
251,house,regular,new_house
252,house,regular,new_house
253,house,regular,new_house
254,house,regular,new_house
255,apartament,good,new_house
256,house,regular,new_house
257,house,regular,new_house
258,house,regular,new_house
259,house,regular,new_house
260,house,regular,new_house
261,house,regular,new_house
262,house,regular,new_house
263,apartament,regular,new_house
264,studio,good,new_house
265,house,regular,new_house
266,house,regular,new_house
267,apartament,regular,new_house
268,house,regular,new_house
269,house,regular,new_house
270,house,regular,new_house
271,apartament,regular,new_house
272,house,regular,new_house
273,house,regular,new_house
274,house,regular,new_house
275,house,regular,new_house
276,house,good,new_house
277,house,regular,new_house
278,house,regular,new_house
279,house,regular,new_house
280,house,regular,new_house
281,apartament,regular,new_house
282,house,good,new_house
283,house,regular,new_house
284,house,regular,new_house
285,house,regular,new_house
286,house,regular,new_house
287,house,regular,new_house
288,house,regular,new_house
289,apartament,regular,new_house
290,house,regular,new_house
291,house,regular,new_house
292,house,regular,new_house
293,house,regular,new_house
294,house,good,new_house
295,house,regular,new_house
296,house,regular,new_house
297,house,regular,new_house
298,house,regular,new_house
299,house,regular,new_house
300,house,regular,new_house
301,house,regular,new_house
302,house,regular,new_house
303,house,regular,new_house
304,house,regular,new_house
305,house,regular,new_house
306,house,regular,new_house
307,house,regular,new_house
308,apartament,regular,new_house
309,house,good,new_house
310,house,good,new_house
311,house,regular,new_house
312,house,good,new_house
313,house,regular,new_house
314,house,regular,new_house
315,house,regular,new_house
316,house,good,new_house
317,house,regular,new_house
318,apartament,regular,new_house
319,house,regular,new_house
320,house,regular,new_house
321,house,regular,new_house
322,house,regular,new_house
323,house,regular,new_house
324,apartament,regular,new_house
325,apartament,regular,new_house
326,house,regular,new_house
327,house,regular,new_house
328,house,bad,new_house
329,house,regular,new_house
330,house,regular,new_house
331,house,regular,new_house
332,house,regular,new_house
333,apartament,regular,new_house
334,house,good,new_house
335,house,regular,new_house
336,house,regular,new_house
337,house,good,new_house
338,house,regular,new_house
339,house,regular,new_house
340,house,regular,new_house
341,house,regular,new_house
342,house,regular,new_house
343,house,regular,new_house
344,house,regular,new_house
345,house,regular,new_house
346,house,regular,new_house
347,apartament,regular,new_house
348,house,regular,new_house
349,house,regular,new_house
350,studio,regular,new_house
351,house,regular,new_house
352,house,regular,new_house
353,apartament,good,new_house
354,house,regular,new_house
355,house,good,new_house
356,house,regular,new_house
357,house,regular,new_house
358,house,regular,new_house
359,house,regular,new_house
360,house,regular,new_house
361,house,regular,new_house
362,house,regular,new_house
363,house,regular,new_house
364,house,regular,new_house
365,house,regular,new_house
366,house,regular,new_house
367,house,regular,new_house
368,house,regular,new_house
369,house,regular,new_house
370,house,regular,new_house
371,house,good,new_house
372,house,good,new_house
373,house,regular,new_house
374,house,regular,new_house
375,house,regular,new_house
376,house,regular,new_house
377,house,regular,new_house
378,house,regular,new_house
379,house,regular,new_house
380,apartament,NA,new_house
381,house,regular,new_house
382,house,regular,new_house
383,house,regular,new_house
384,house,regular,new_house
385,house,regular,new_house
386,house,regular,new_house
387,house,regular,new_house
388,house,regular,new_house
389,house,regular,new_house
390,house,regular,new_house
391,house,regular,new_house
392,house,regular,new_house
393,house,regular,new_house
394,house,regular,new_house
395,apartament,good,new_house
396,house,regular,new_house
397,house,NA,new_house
398,house,regular,new_house
399,house,regular,new_house
400,house,regular,new_house
401,house,regular,new_house
402,apartament,regular,new_house
403,house,regular,new_house
404,house,regular,new_house
405,house,regular,new_house
406,house,regular,new_house
407,house,regular,new_house
408,house,regular,new_house
409,house,regular,new_house
410,house,regular,new_house
411,apartament,regular,new_house
412,house,regular,new_house
413,house,regular,new_house
414,house,regular,new_house
415,house,regular,new_house
416,house,regular,new_house
417,house,good,new_house
418,house,regular,new_house
419,house,regular,new_house
420,apartament,regular,new_house
421,house,good,new_house
422,house,regular,new_house
423,house,regular,new_house
424,apartament,regular,new_house
425,house,good,new_house
426,house,regular,new_house
427,house,regular,new_house
428,house,regular,new_house
429,house,regular,new_house
430,house,regular,new_house
431,house,regular,new_house
432,house,good,new_house
433,house,regular,new_house
434,house,regular,new_house
435,house,regular,new_house
436,house,regular,new_house
437,house,regular,new_house
438,apartament,regular,new_house
439,house,regular,new_house
440,house,good,new_house
441,house,regular,new_house
442,apartament,regular,new_house
443,house,regular,new_house
444,house,regular,new_house
445,house,regular,new_house
446,house,regular,new_house
447,house,regular,new_house
448,house,regular,new_house
449,house,good,new_house
450,house,regular,new_house
451,house,regular,new_house
452,house,regular,new_house
453,house,regular,new_house
454,house,regular,new_house
455,house,regular,new_house
456,house,regular,new_house
457,house,regular,new_house
458,house,good,new_house
459,house,good,new_house
460,house,regular,new_house
461,house,regular,new_house
462,house,regular,new_house
463,house,regular,new_house
464,house,regular,new_house
465,studio,bad,new_house
466,house,regular,new_house
467,house,regular,new_house
468,house,regular,new_house
469,house,regular,new_house
470,apartament,regular,new_house
471,house,regular,new_house
472,house,regular,new_house
473,house,regular,new_house
474,house,regular,new_house
475,house,regular,new_house
476,house,regular,new_house
477,house,regular,new_house
478,apartament,regular,new_house
479,house,regular,new_house
480,house,regular,new_house
481,house,regular,new_house
482,house,regular,new_house
483,house,regular,new_house
484,house,regular,new_house
485,house,regular,new_house
486,house,regular,new_house
487,apartament,regular,new_house
488,house,regular,new_house
489,house,regular,new_house
490,house,regular,new_house
491,house,regular,new_house
492,house,good,new_house
493,house,regular,new_house
494,house,regular,new_house
495,apartament,regular,new_house
496,house,regular,new_house
497,house,regular,new_house
498,apartament,regular,new_house
499,house,regular,new_house
500,house,regular,new_house
501,apartament,regular,new_house
502,house,regular,new_house
503,house,regular,new_house
504,house,regular,new_house
505,apartament,regular,new_house
506,house,regular,new_house
507,house,regular,new_house
508,apartament,regular,new_house
509,house,regular,new_house
510,house,regular,new_house
511,house,regular,new_house
512,house,regular,new_house
513,house,regular,new_house
514,house,good,new_house
515,apartament,regular,new_house
516,house,regular,new_house
517,house,regular,new_house
518,house,good,new_house
519,house,regular,new_house
520,house,good,new_house
521,apartament,regular,new_house
522,house,regular,new_house
523,house,regular,new_house
524,apartament,regular,new_house
525,apartament,regular,new_house
526,house,regular,new_house
527,house,regular,new_house
528,house,regular,new_house
529,house,regular,new_house
530,house,regular,new_house
531,apartament,regular,new_house
532,house,regular,new_house
533,house,regular,new_house
534,house,regular,new_house
535,house,regular,new_house
536,house,regular,new_house
537,apartament,regular,new_house
538,house,regular,new_house
539,house,regular,new_house
540,house,regular,new_house
541,house,regular,new_house
542,house,regular,new_house
543,house,regular,new_house
544,house,regular,new_house
545,house,regular,new_house
546,house,regular,new_house
547,apartament,regular,new_house
548,house,regular,new_house
549,apartament,regular,new_house
550,house,regular,new_house
551,house,good,new_house
552,house,regular,new_house
553,apartament,regular,new_house
554,house,good,new_house
555,house,regular,new_house
556,house,regular,new_house
557,house,regular,new_house
558,house,regular,new_house
559,house,regular,new_house
560,house,regular,new_house
561,house,regular,new_house
562,house,regular,new_house
563,house,regular,new_house
564,house,regular,new_house
565,house,regular,new_house
566,house,regular,new_house
567,house,good,new_house
568,house,regular,new_house
569,apartament,regular,new_house
570,house,regular,new_house
571,house,regular,new_house
572,house,regular,new_house
573,house,good,new_house
574,house,regular,new_house
575,apartament,regular,new_house
576,house,regular,new_house
577,house,regular,new_house
578,house,regular,new_house
579,house,regular,new_house
580,house,regular,new_house
581,house,regular,new_house
582,apartament,regular,new_house
583,house,regular,new_house
584,house,regular,new_house
585,house,regular,new_house
586,house,regular,new_house
587,house,regular,new_house
588,house,regular,new_house
589,house,good,new_house
590,house,regular,new_house
591,house,regular,new_house
592,house,regular,new_house
593,house,regular,new_house
594,house,regular,new_house
595,house,regular,new_house
596,apartament,regular,new_house
597,house,regular,new_house
598,house,regular,new_house
599,house,regular,new_house
600,apartament,regular,new_house
601,house,regular,new_house
602,house,regular,new_house
603,house,regular,new_house
604,house,regular,new_house
605,house,good,new_house
606,apartament,regular,new_house
607,apartament,regular,new_house
608,house,regular,new_house
609,house,regular,new_house
610,apartament,regular,new_house
611,house,regular,new_house
612,house,regular,new_house
613,house,regular,new_house
614,house,regular,new_house
615,house,regular,new_house
616,house,regular,new_house
617,house,regular,new_house
618,house,regular,new_house
619,house,regular,new_house
620,house,regular,new_house
621,house,regular,new_house
622,house,regular,new_house
623,apartament,regular,new_house
624,house,regular,new_house
625,house,regular,new_house
626,house,regular,new_house
627,house,regular,new_house
628,house,regular,new_house
629,house,regular,new_house
630,house,good,new_house
631,apartament,regular,new_house
632,house,good,new_house
633,house,regular,new_house
634,apartament,regular,new_house
635,house,regular,new_house
636,house,regular,new_house
637,house,good,new_house
638,house,regular,new_house
639,house,good,new_house
640,apartament,regular,new_house
641,house,regular,new_house
642,house,regular,new_house
643,house,regular,new_house
644,house,regular,new_house
645,house,regular,new_house
646,house,regular,new_house
647,house,regular,new_house
648,studio,regular,new_house
649,house,regular,new_house
650,house,regular,new_house
